latitude,longitude,rainfall_mm,temperature_c,humidity_pct,river_discharge_m3s,water_level_m,elevation_m,land_cover,soil_type,population_density,infrastructure,historical_floods,flood_occurred
18.861663,78.835584,219.0,34.14,43.91,4236.18,7.42,377.47,Water Body,Clay,7276.74,1,0,1
35.570715,77.654451,55.35,28.78,27.59,2472.59,8.81,7330.61,Forest,Peat,6897.74,0,1,0
29.227824,73.108463,103.99,43.93,30.11,977.33,4.63,2205.87,Agricultural,Loam,4361.52,1,1,1
25.361096,85.610733,198.98,21.57,34.45,3683.21,2.89,2512.28,Desert,Sandy,6163.07,1,1,0
12.524541,81.822101,144.63,32.64,36.29,2093.39,3.19,2001.82,Agricultural,Loam,6167.96,1,0,0
12.523841,93.105329,221.57,36.01,39.38,2973.14,6.97,7433.06,Agricultural,Loam,5377.54,0,0,1
9.684425,68.931178,288.36,39.77,40.44,536.33,5.68,8661.32,Water Body,Silt,6039.09,0,0,1
33.119108,86.67217,34.96,27.21,56.46,3157.92,4.86,6681.89,Agricultural,Clay,3994.45,0,1,1
25.432335,90.125517,212.87,35.61,60.77,1867.75,2.03,7287.02,Forest,Silt,6782.94,0,0,0
28.534105,90.025111,69.1,24.1,44.71,1670.95,8.75,5490.19,Urban,Silt,2270.03,0,1,0
8.59695,93.696145,124.34,28.06,92.58,4899.58,7.81,4678.6,Urban,Clay,8532.88,1,0,1
36.127386,89.141979,9.86,41.87,64.25,2162.15,1.41,6384.52,Urban,Peat,8509.32,1,1,1
32.140837,94.906492,40.77,43.5,83.0,3390.19,3.67,316.43,Forest,Sandy,4978.62,1,1,0
14.157834,77.647041,95.93,36.56,93.94,3138.64,5.42,543.27,Desert,Silt,4965.93,0,1,0
13.272924,82.593073,102.6,26.23,33.05,521.52,4.54,6081.0,Forest,Silt,3990.48,1,1,0
13.318731,68.40831,269.88,39.6,54.23,3739.64,3.98,2964.7,Urban,Peat,457.42,1,1,1
16.823025,68.20177,222.54,15.78,54.66,1615.8,7.19,4325.21,Desert,Clay,1432.65,0,1,0
23.217937,74.963672,291.65,18.08,48.36,3994.7,0.55,6919.07,Water Body,Loam,7144.88,0,1,1
20.526406,70.923409,179.72,34.84,20.71,3038.2,4.71,5106.69,Forest,Peat,1427.41,0,0,1
16.445645,75.54613,72.51,23.74,85.28,1585.46,2.62,7124.96,Agricultural,Loam,4120.45,0,0,0
25.743734,73.134256,98.3,43.54,28.92,1781.46,0.85,3708.69,Agricultural,Sandy,3542.26,0,1,1
12.045322,68.827081,95.95
eat,6253.3,0,0,0
27.475623,93.097453,10.29,42.35,97.87,2612.44,4.24,6218.86,Forest,Sandy,8428.83,0,1,0
23.088923,76.598546,271.92,17.77,98.16,1284.25,2.11,3448.13,Urban,Silt,2289.42,0,1,0
30.397233,72.619208,275.54,43.29,40.37,4489.91,4.17,4226.79,Forest,Loam,7857.48,1,1,1
23.084742,80.626292,168.42,28.76,33.38,898.55,8.75,2317.47,Desert,Loam,635.83,0,0,1
32.713264,79.655063,144.62,44.78,59.66,3052.44,9.77,6513.06,Water Body,Loam,6832.48,1,1,1
24.005298,84.69586,13.46,31.19,58.52,3997.27,5.77,7479.64,Urban,Clay,9853.93,0,0,0
24.267201,84.918201,168.59,37.72,52.81,2976.99,1.46,1417.57,Forest,Loam,6873.91,0,1,1
33.422954,89.749623,122.81,15.21,62.35,393.88,4.28,1705.31,Forest,Peat,3296.19,0,1,1
19.701003,82.786808,231.84,29.9,38.58,3057.23,6.02,3003.02,Desert,Silt,5065.31,1,1,0
11.886442,71.039857,121.17,37.12,29.19,3835.4,3.71,2478.91,Water Body,Sandy,9928.19,0,0,0
8.834698,92.890449,205.07,38.48,65.64,939.14,2.05,4703.04,Agricultural,Loam,4789.07,1,1,0
29.89898,76.983173,30.42,19.74,94.61,3684.76,2.27,6658.82,Water Body,Sandy,7877.83,0,0,1
25.988977,96.167626,39.89,27.57,31.02,4392.89,4.74,7018.89,Forest,Clay,1823.19,1,1,1
28.418313,71.417943,41.91,27.57,76.39,4932.29,2.16,1844.36,Forest,Clay,8408.53,0,0,1
14.175961,95.789284,13.66,18.11,55.03,2050.3,2.5,1553.55,Water Body,Sandy,1763.49,1,1,0
11.954773,70.639342,162.4,28.29,43.52,125.81,8.73,3217.97,Water Body,Peat,9936.43,1,0,1
8.421795,74.700048,238.19,39.21,88.25,2095.4,7.79,1307.06,Desert,Sandy,1078.0,0,1,0
18.167039,69.350818,183.12,24.01,56.52,3301.14,0.55,812.22,Agricultural,Silt,3816.33,1,1,1
25.107613,88.448281,172.49,27.98,66.66,4456.83,3.2,2146.36,Urban,Loam,7023.77,1,0,0
19.375077,92.658663,204.19,43.83,55.44,4690.53,5.32,3485.61,Urban,Peat,7451.37,0,1,0
20.686773,80.588061,101.89,15.95,26.5,4547.88,0.61,5201.22,Agricultural,Sandy,3063.2,0,0,0
34.220602,94.92714,108.59,32.75,67.59,3289.8,6.83,6

