soil,land,road,water,elec,area,elevation,discharge,schools,hospitals,hotels,flood_risk,env_risk,access_risk,infra_risk,overall_risk,suitability,btype
Red Soil,Agricultural,58.09967490303417,0,1,4796.597486485918,923.7283496848054,1830.7673135863827,4,1,2,42.090427545969106,20,3.167208494943054,45,29.773451764824948,70.22654823517504,Individual House
Sandy,Industrial,55.36978915049092,1,0,16409.30609499046,472.79901998152366,3312.188733681681,3,0,3,43.78961151348585,25,7.717018082515139,45,32.25561855034883,67.74438144965117,Factory
Loamy,Residential,32.65815360360717,0,1,3986.4669605590966,1081.398822512867,1706.9486099047876,3,2,2,47.97443379719397,15,45.569743993988055,45,41.6834878275149,58.3165121724851,Individual House
Sandy,Agricultural,48.73106553896986,0,1,4998.782125698065,1173.5486927267395,1736.441794981785,3,2,3,38.54606951489323,25,18.78155743505023,45,33.18651368897519,66.8134863110248,Individual House
Sandy,Agricultural,12.466021920494558,0,1,7954.254444962871,1400.848456955954,3667.631954691516,0,1,2,52.883494519876365,25,79.22329679917573,45,53.31504728175066,46.68495271824934,Individual House
Clayey,Industrial,58.75910013122068,1,0,17726.615721187813,551.6620082313955,1549.1611226955392,1,1,0,48.29344742110561,30,2.068166447965538,45,33.16974820937835,66.83025179062165,Factory
Loamy,Agricultural,58.03942787197926,0,0,3503.946704048095,1029.0251039699324,1003.8632417721255,2,0,2,27.5674078674477,15,3.2676202133679055,85,33.96549780694867,66.03450219305134,Individual House
Loamy,Agricultural,14.005092683354404,1,1,3322.4496642359954,903.9244154020363,4038.2306399828603,1,0,1,58.4987268291614,15,76.658178861076,10,44.38909910547549,55.61090089452451,Individual House
Loamy,Residential,21.468271864170863,1,0,10385.524777800054,787.8091041856327,4026.855168636159,4,1,1,56.63293203395728,15,64.21954689304856,45,49.37641293514719,50.62358706485281,Individual House
Sandy,Residential,10.508524862872182,1,0,6251.800280779819,1335.6247112325568,2487.9285185343465,1,2,0,53.372868784281955,25,82.48579189521303,45,54.30195204830194,45.69804795169806,Individual House
Red Soil,Residential,19.944467939399885,0,0,11805.830891315038,4.750971207600485,2633.2780808147754,2,2,2,84.728824742694,20,66.75922010100018,85,70.59489368519294,29.405106314807057,Individual House
